Index,Location,Sex,Year,Mx,Upper,Lower
1,Alabama,Male,1981-01-01,355.0900526,364.8025609,343.9641639
2,Alabama,Male,1982-01-01,350.1255167,360.6599654,339.1423968
3,Alabama,Male,1983-01-01,347.8082915,357.7727625,336.8772708
4,Alabama,Male,1984-01-01,351.7630096,362.4729641,340.8057983
5,Alabama,Male,1985-01-01,353.813274,363.1898255,341.9161351
6,Alabama,Male,1986-01-01,357.3919521,366.820615,345.2814403
7,Alabama,Male,1987-01-01,354.8984518,363.2118855,343.2173624
8,Alabama,Male,1988-01-01,357.3263121,365.5662215,344.3294283
9,Alabama,Male,1989-01-01,354.8773551,362.9941588,341.2548321
10,Alabama,Male,1990-01-01,350.3227901,358.4190766,336.4752236
11,Alabama,Male,1991-01-01,351.0869191,358.7726192,336.8335437
12,Alabama,Male,1992-01-01,346.8597942,354.8042444,332.7445783
13,Alabama,Male,1993-01-01,348.7351306,356.8119811,334.5792292
14,Alabama,Male,1994-01-01,350.6720974,358.1530089,335.7659237
15,Alabama,Male,1995-01-01,352.0218921,359.9478771,337.128368
16,Alabama,Male,1996-01-01,345.205563,352.6506598,330.5563635
17,Alabama,Male,1997-01-01,339.4168586,347.4324256,326.3458513
18,Alabama,Male,1998-01-01,336.8185092,345.4792927,324.5204447
19,Alabama,Male,1999-01-01,333.5639465,342.6321889,321.3980544
20,Alabama,Male,2000-01-01,333.7796544,342.2784331,322.9721044
21,Alabama,Male,2001-01-01,329.8197385,339.8370375,319.5979242
22,Alabama,Male,2002-01-01,328.2390361,338.3429352,318.9174897
23,Alabama,Male,2003-01-01,324.7595912,335.5058417,315.9607577
24,Alabama,Male,2004-01-01,315.0471569,325.9669999,307.2856285
25,Alabama,Male,2005-01-01,313.180863,324.1150401,304.9849473
26,Alabama,Male,2006-01-01,310.3531596,321.8622524,303.0278752
27,Alabama,Male,2007-01-01,304.3441464,317.0883958,297.2111919
28,Alabama,Male,2008-01-01,300.6875607,313.8493849,293.3156926
29,Alabama,Male,2009-01-01,297.6906571,310.2105758,290.2409565
30,Alabama,Male,2010-01-01,293.3850951,306.3806398,285.7754743
31,Alabama,Male,2011-01-01,294.1913823,308.3541643,286.6529685
32,Alabama,Male,2012-01-01,291.1004866,304.7076958,283.4827933
33,Alabama,Male,2013-01-01,292.8126227,307.5154292,284.9514427
34,Alabama,Male,2014-01-01,292.1051871,307.5550064,284.0255222
35,Alabama,Female,1980-01-01,183.8007577,187.4624503,179.9038952
36,Alabama,Female,1981-01-01,182.9553837,186.3489413,179.0582188
37,Alabama,Female,1982-01-01,182.1753618,185.6619215,178.458692
38,Alabama,Female,1983-01-01,184.3469353,187.6948436,180.5277797
39,Alabama,Female,1984-01-01,186.7124921,190.2034116,182.414252
40,Alabama,Female,1985-01-01,188.0337641,191.5746884,184.0565218
41,Alabama,Female,1986-01-01,189.0648815,192.4561614,184.854331
42,Alabama,Female,1987-01-01,190.6809011,194.3832104,186.5489875
43,Alabama,Female,1988-01-01,192.4772632,195.9941544,187.9972578
44,Alabama,Female,1989-01-01,192.1663775,195.6907059,187.1754481
45,Alabama,Female,1990-01-01,192.1384082,195.5740421,187.2528969
46,Alabama,Female,1991-01-01,193.5297634,197.4168637,188.3840805
47,Alabama,Female,1992-01-01,191.0259354,194.582197,186.28494
48,Alabama,Female,1993-01-01,195.4052146,199.106331,190.395063
49,Alabama,Female,1994-01-01,196.3298834,200.0968778,190.9103324
50,Alabama,Female,1995-01-01,197.4078415,201.0899912,192.6889377
51,Alabama,Female,1996-01-01,196.0152196,199.6106738,191.8653252
52,Alabama,Female,1997-01-01,195.4482532,199.023297,191.384616
53,Alabama,Female,1998-01-01,194.1090545,197.4764701,190.0892384
54,Alabama,Female,1999-01-01,195.0152012,198.5886414,191.2063926
55,Alabama,Female,2000-01-01,193.7224673,197.3434234,189.9510041
56,Alabama,Female,2001-01-01,197.0363559,200.4539557,193.5610611
57,Alabama,Female,2002-01-01,194.9455705,198.4214091,191.4536882
58,Alabama,Female,2003-01-01,194.8169397,198.5061703,191.4028655
59,Alabama,Female,2004-01-01,190.8533998,194.9056849,187.2374503
60,Alabama,Female,2005-01-01,191.4156578,195.4394931,187.8997039
61,Alabama,Female,2006-01-01,190.1278768,193.7444083,186.6226946
62,Alabama,Female,2007-01-01,187.0889737,190.919196,183.6243649
63,Alabama,Female,2008-01-01,186.6735993,190.5892792,183.067165
64,Alabama,Female,2009-01-01,186.5292911,190.4883063,183.014433
65,Alabama,Female,2010-01-01,184.3027202,188.3850242,180.8741442
66,Alabama,Female,2011-01-01,184.3021139,188.5727555,180.5610167
67,Alabama,Female,2012-01-01,184.5687639,189.0296697,180.804136
68,Alabama,Female,2013-01-01,183.9205289,188.1955096,180.1631744
69,Alabama,Female,2014-01-01,186.2970255,190.8579925,182.3682095
70,Alaska,Male,1980-01-01,306.3864953,319.9074064,293.7958471
71,Alaska,Male,1981-01-01,299.9392782,313.4022231,286.6671845
72,Alaska,Male,1982-01-01,294.0517186,306.0028047,281.4521675
73,Alaska,Male,1983-01-01,294.6029975,306.841204,281.3516169
74,Alaska,Male,1984-01-01,293.2531585,304.8463593,280.6662784
75,Alaska,Male,1985-01-01,295.5019034,307.7796356,282.1191864
76,Alaska,Male,1986-01-01,293.4792863,305.7493704,279.6348682
77,Alaska,Male,1987-01-01,293.5962619,305.7097662,279.7811426
78,Alaska,Male,1988-01-01,293.9342363,305.4167412,280.9789255
79,Alaska,Male,1989-01-01,290.9009865,302.7385501,277.1151869
80,Alaska,Male,1990-01-01,288.8315731,300.8944576,273.8176795
81,Alaska,Male,1991-01-01,285.7421164,297.7110679,271.2760102
82,Alaska,Male,1992-01-01,282.4096282,293.4656041,268.2101527
83,Alaska,Male,1993-01-01,284.0834836,295.2580219,269.90922
84,Alaska,Male,1994-01-01,282.565727,292.8676969,267.8370092
85,Alaska,Male,1995-01-01,284.9466729,296.3564848,270.5227321
86,Alaska,Male,1996-01-01,276.1602813,286.7478364,263.0100041
87,Alaska,Male,1997-01-01,269.2898668,279.7670949,257.0718505
88,Alaska,Male,1998-01-01,264.8443077,275.6045875,252.9086561
89,Alaska,Male,1999-01-01,261.8419803,271.6729187,250.0983142
90,Alaska,Male,2000-01-01,261.3089502,271.2602986,249.8824419
91,Alaska,Male,2001-01-01,260.3743263,271.4756195,249.276302
92,Alaska,Male,2002-01-01,257.6321552,268.6522818,246.7050741
93,Alaska,Male,2003-01-01,251.6812734,262.1718121,242.1129072
94,Alaska,Male,2004-01-01,240.9935695,252.0442487,230.8868134
95,Alaska,Male,2005-01-01,239.5649517,250.0205925,230.1487289
96,Alaska,Male,2006-01-01,234.5544169,245.5779755,225.45807
97,Alaska,Male,2007-01-01,232.7632374,243.8174818,223.767915
98,Alaska,Male,2008-01-01,229.7589011,240.5948875,221.5883998
99,Alaska,Male,2009-01-01,226.0868021,237.1226779,217.5723
100,Alaska,Male,2010-01-01,222.5297038,235.2894934,213.7010554
101,Alaska,Male,2011-01-01,222.8974527,235.1909575,214.0277261
102,Alaska,Male,2012-01-01,218.8419679,231.2129026,209.9435073
103,Alaska,Male,2013-01-01,220.127342,232.4539564,211.0292292
104,Alaska,Male,2014-01-01,223.9808996,236.3316565,214.5070735
105,Alaska,Female,1980-01-01,192.4165505,202.0569172,183.5534873
106,Alaska,Female,1981-01-01,190.8210424,200.4401364,181.6563613
107,Alaska,Female,1982-01-01,189.4565673,198.2417351,181.0075908
108,Alaska,Female,1983-01-01,189.283192,197.5060979,181.1356462
109,Alaska,Female,1984-01-01,189.2759376,197.6708991,180.7874276
