Year,Location,Mx,Sex
1981-01-01,Alabama,355.0900526,Male
1982-01-01,Alabama,350.1255167,Male
1983-01-01,Alabama,347.8082915,Male
1984-01-01,Alabama,351.7630096,Male
1985-01-01,Alabama,353.813274,Male
1986-01-01,Alabama,357.3919521,Male
1987-01-01,Alabama,354.8984518,Male
1988-01-01,Alabama,357.3263121,Male
1989-01-01,Alabama,354.8773551,Male
1990-01-01,Alabama,350.3227901,Male
1991-01-01,Alabama,351.0869191,Male
1992-01-01,Alabama,346.8597942,Male
1993-01-01,Alabama,348.7351306,Male
1994-01-01,Alabama,350.6720974,Male
1995-01-01,Alabama,352.0218921,Male
1996-01-01,Alabama,345.205563,Male
1997-01-01,Alabama,339.4168586,Male
1998-01-01,Alabama,336.8185092,Male
1999-01-01,Alabama,333.5639465,Male
2000-01-01,Alabama,333.7796544,Male
2001-01-01,Alabama,329.8197385,Male
2002-01-01,Alabama,328.2390361,Male
2003-01-01,Alabama,324.7595912,Male
2004-01-01,Alabama,315.0471569,Male
2005-01-01,Alabama,313.180863,Male
2006-01-01,Alabama,310.3531596,Male
2007-01-01,Alabama,304.3441464,Male
2008-01-01,Alabama,300.6875607,Male
2009-01-01,Alabama,297.6906571,Male
2010-01-01,Alabama,293.3850951,Male
2011-01-01,Alabama,294.1913823,Male
2012-01-01,Alabama,291.1004866,Male
2013-01-01,Alabama,292.8126227,Male
2014-01-01,Alabama,292.1051871,Male
1980-01-01,Alaska,306.3864953,Male
1981-01-01,Alaska,299.9392782,Male
1982-01-01,Alaska,294.0517186,Male
1983-01-01,Alaska,294.6029975,Male
1984-01-01,Alaska,293.2531585,Male
1985-01-01,Alaska,295.5019034,Male
1986-01-01,Alaska,293.4792863,Male
1987-01-01,Alaska,293.5962619,Male
1988-01-01,Alaska,293.9342363,Male
1989-01-01,Alaska,290.9009865,Male
1990-01-01,Alaska,288.8315731,Male
1991-01-01,Alaska,285.7421164,Male
1992-01-01,Alaska,282.4096282,Male
1993-01-01,Alaska,284.0834836,Male
1994-01-01,Alaska,282.565727,Male
1995-01-01,Alaska,284.9466729,Male
1996-01-01,Alaska,276.1602813,Male
1997-01-01,Alaska,269.2898668,Male
1998-01-01,Alaska,264.8443077,Male
1999-01-01,Alaska,261.8419803,Male
2000-01-01,Alaska,261.3089502,Male
2001-01-01,Alaska,260.3743263,Male
2002-01-01,Alaska,257.6321552,Male
2003-01-01,Alaska,251.6812734,Male
2004-01-01,Alaska,240.9935695,Male
2005-01-01,Alaska,239.5649517,Male
2006-01-01,Alaska,234.5544169,Male
2007-01-01,Alaska,232.7632374,Male
2008-01-01,Alaska,229.7589011,Male
2009-01-01,Alaska,226.0868021,Male
2010-01-01,Alaska,222.5297038,Male
2011-01-01,Alaska,222.8974527,Male
2012-01-01,Alaska,218.8419679,Male
2013-01-01,Alaska,220.127342,Male
2014-01-01,Alaska,223.9808996,Male
1980-01-01,Arizona,274.1991363,Male
1981-01-01,Arizona,272.594432,Male
1982-01-01,Arizona,270.4200547,Male
1983-01-01,Arizona,263.1394819,Male
1984-01-01,Arizona,265.7808494,Male
1985-01-01,Arizona,265.4612822,Male
1986-01-01,Arizona,264.7087657,Male
1987-01-01,Arizona,266.2847171,Male
1988-01-01,Arizona,268.0574868,Male
1989-01-01,Arizona,258.8808736,Male
1990-01-01,Arizona,260.399191,Male
1991-01-01,Arizona,260.0401791,Male
1992-01-01,Arizona,258.1414894,Male
1993-01-01,Arizona,258.1753289,Male
1994-01-01,Arizona,257.1040316,Male
1995-01-01,Arizona,248.2926648,Male
1996-01-01,Arizona,246.8809547,Male
1997-01-01,Arizona,237.4601308,Male
1998-01-01,Arizona,232.690907,Male
1999-01-01,Arizona,237.2491182,Male
2000-01-01,Arizona,234.6846326,Male
2001-01-01,Arizona,227.7865548,Male
2002-01-01,Arizona,232.1253111,Male
2003-01-01,Arizona,227.3165637,Male
2004-01-01,Arizona,219.4212158,Male
2005-01-01,Arizona,218.9086266,Male
2006-01-01,Arizona,216.6698529,Male
2007-01-01,Arizona,211.9023295,Male
2008-01-01,Arizona,207.0525791,Male
2009-01-01,Arizona,204.9979396,Male
2010-01-01,Arizona,202.0722255,Male
2011-01-01,Arizona,198.5504833,Male
2012-01-01,Arizona,200.9311862,Male
2013-01-01,Arizona,198.4414919,Male
2014-01-01,Arizona,199.8768797,Male
1980-01-01,Arkansas,344.1648781,Male
1981-01-01,Arkansas,340.6948487,Male
1982-01-01,Arkansas,338.065497,Male
1983-01-01,Arkansas,338.207921,Male
1984-01-01,Arkansas,338.7759917,Male
1985-01-01,Arkansas,341.1616556,Male
1986-01-01,Arkansas,342.6833455,Male
1987-01-01,Arkansas,341.5707196,Male
1988-01-01,Arkansas,341.5287081,Male
1989-01-01,Arkansas,338.3900287,Male
1990-01-01,Arkansas,337.1828476,Male
1991-01-01,Arkansas,333.7054373,Male
1992-01-01,Arkansas,331.6112593,Male
1993-01-01,Arkansas,335.1426514,Male
1994-01-01,Arkansas,333.2565734,Male
1995-01-01,Arkansas,335.0163738,Male
1996-01-01,Arkansas,325.7118011,Male
1997-01-01,Arkansas,318.8845335,Male
1998-01-01,Arkansas,316.0757806,Male
1999-01-01,Arkansas,314.7469091,Male
2000-01-01,Arkansas,312.6276729,Male
2001-01-01,Arkansas,310.547241,Male
2002-01-01,Arkansas,308.4989878,Male
2003-01-01,Arkansas,304.0083713,Male
2004-01-01,Arkansas,294.0983725,Male
2005-01-01,Arkansas,293.7169127,Male
2006-01-01,Arkansas,289.2291189,Male
2007-01-01,Arkansas,283.205837,Male
2008-01-01,Arkansas,282.3603015,Male
2009-01-01,Arkansas,278.2300986,Male
2010-01-01,Arkansas,274.3798503,Male
2011-01-01,Arkansas,273.5529334,Male
2012-01-01,Arkansas,271.9955145,Male
2013-01-01,Arkansas,271.5268856,Male
2014-01-01,Arkansas,274.2245456,Male
1980-01-01,California,295.6977769,Male
1981-01-01,California,291.7528625,Male
1982-01-01,California,288.7774926,Male
1983-01-01,California,282.0007825,Male
1984-01-01,California,286.4994798,Male
1985-01-01,California,286.8871882,Male
1986-01-01,California,284.0417887,Male
1987-01-01,California,281.0447187,Male
1988-01-01,California,279.2284664,Male
1989-01-01,California,275.3417152,Male
1990-01-01,California,270.132532,Male
1991-01-01,California,268.0663981,Male
1992-01-01,California,263.8129585,Male
1993-01-01,California,265.1903627,Male
1994-01-01,California,262.1907748,Male
1995-01-01,California,262.5097261,Male
1996-01-01,California,251.1549111,Male
1997-01-01,California,244.7666997,Male
1998-01-01,California,238.7969095,Male
1999-01-01,California,238.170337,Male
