location_name,cause_name,sex_id,sex,year_id,mx,upper,lower
Alabama,Neoplasms,1,Male,1980,357.835451,368.4895659,347.3435562
Alabama,Neoplasms,1,Male,1981,355.0900526,364.8025609,343.9641639
Alabama,Neoplasms,1,Male,1982,350.1255167,360.6599654,339.1423968
Alabama,Neoplasms,1,Male,1983,347.8082915,357.7727625,336.8772708
Alabama,Neoplasms,1,Male,1984,351.7630096,362.4729641,340.8057983
Alabama,Neoplasms,1,Male,1985,353.813274,363.1898255,341.9161351
Alabama,Neoplasms,1,Male,1986,357.3919521,366.820615,345.2814403
Alabama,Neoplasms,1,Male,1987,354.8984518,363.2118855,343.2173624
Alabama,Neoplasms,1,Male,1988,357.3263121,365.5662215,344.3294283
Alabama,Neoplasms,1,Male,1989,354.8773551,362.9941588,341.2548321
Alabama,Neoplasms,1,Male,1990,350.3227901,358.4190766,336.4752236
Alabama,Neoplasms,1,Male,1991,351.0869191,358.7726192,336.8335437
Alabama,Neoplasms,1,Male,1992,346.8597942,354.8042444,332.7445783
Alabama,Neoplasms,1,Male,1993,348.7351306,356.8119811,334.5792292
Alabama,Neoplasms,1,Male,1994,350.6720974,358.1530089,335.7659237
Alabama,Neoplasms,1,Male,1995,352.0218921,359.9478771,337.128368
Alabama,Neoplasms,1,Male,1996,345.205563,352.6506598,330.5563635
Alabama,Neoplasms,1,Male,1997,339.4168586,347.4324256,326.3458513
Alabama,Neoplasms,1,Male,1998,336.8185092,345.4792927,324.5204447
Alabama,Neoplasms,1,Male,1999,333.5639465,342.6321889,321.3980544
Alabama,Neoplasms,1,Male,2000,333.7796544,342.2784331,322.9721044
Alabama,Neoplasms,1,Male,2001,329.8197385,339.8370375,319.5979242
Alabama,Neoplasms,1,Male,2002,328.2390361,338.3429352,318.9174897
Alabama,Neoplasms,1,Male,2003,324.7595912,335.5058417,315.9607577
Alabama,Neoplasms,1,Male,2004,315.0471569,325.9669999,307.2856285
Alabama,Neoplasms,1,Male,2005,313.180863,324.1150401,304.9849473
Alabama,Neoplasms,1,Male,2006,310.3531596,321.8622524,303.0278752
Alabama,Neoplasms,1,Male,2007,304.3441464,317.0883958,297.2111919
Alabama,Neoplasms,1,Male,2008,300.6875607,313.8493849,293.3156926
Alabama,Neoplasms,1,Male,2009,297.6906571,310.2105758,290.2409565
Alabama,Neoplasms,1,Male,2010,293.3850951,306.3806398,285.7754743
Alabama,Neoplasms,1,Male,2011,294.1913823,308.3541643,286.6529685
Alabama,Neoplasms,1,Male,2012,291.1004866,304.7076958,283.4827933
Alabama,Neoplasms,1,Male,2013,292.8126227,307.5154292,284.9514427
Alabama,Neoplasms,1,Male,2014,292.1051871,307.5550064,284.0255222
Alabama,Neoplasms,2,Female,1980,183.8007577,187.4624503,179.9038952
Alabama,Neoplasms,2,Female,1981,182.9553837,186.3489413,179.0582188
Alabama,Neoplasms,2,Female,1982,182.1753618,185.6619215,178.458692
Alabama,Neoplasms,2,Female,1983,184.3469353,187.6948436,180.5277797
Alabama,Neoplasms,2,Female,1984,186.7124921,190.2034116,182.414252
Alabama,Neoplasms,2,Female,1985,188.0337641,191.5746884,184.0565218
Alabama,Neoplasms,2,Female,1986,189.0648815,192.4561614,184.854331
Alabama,Neoplasms,2,Female,1987,190.6809011,194.3832104,186.5489875
Alabama,Neoplasms,2,Female,1988,192.4772632,195.9941544,187.9972578
Alabama,Neoplasms,2,Female,1989,192.1663775,195.6907059,187.1754481
Alabama,Neoplasms,2,Female,1990,192.1384082,195.5740421,187.2528969
Alabama,Neoplasms,2,Female,1991,193.5297634,197.4168637,188.3840805
Alabama,Neoplasms,2,Female,1992,191.0259354,194.582197,186.28494
Alabama,Neoplasms,2,Female,1993,195.4052146,199.106331,190.395063
Alabama,Neoplasms,2,Female,1994,196.3298834,200.0968778,190.9103324
Alabama,Neoplasms,2,Female,1995,197.4078415,201.0899912,192.6889377
Alabama,Neoplasms,2,Female,1996,196.0152196,199.6106738,191.8653252
Alabama,Neoplasms,2,Female,1997,195.4482532,199.023297,191.384616
Alabama,Neoplasms,2,Female,1998,194.1090545,197.4764701,190.0892384
Alabama,Neoplasms,2,Female,1999,195.0152012,198.5886414,191.2063926
Alabama,Neoplasms,2,Female,2000,193.7224673,197.3434234,189.9510041
Alabama,Neoplasms,2,Female,2001,197.0363559,200.4539557,193.5610611
Alabama,Neoplasms,2,Female,2002,194.9455705,198.4214091,191.4536882
Alabama,Neoplasms,2,Female,2003,194.8169397,198.5061703,191.4028655
Alabama,Neoplasms,2,Female,2004,190.8533998,194.9056849,187.2374503
Alabama,Neoplasms,2,Female,2005,191.4156578,195.4394931,187.8997039
Alabama,Neoplasms,2,Female,2006,190.1278768,193.7444083,186.6226946
Alabama,Neoplasms,2,Female,2007,187.0889737,190.919196,183.6243649
Alabama,Neoplasms,2,Female,2008,186.6735993,190.5892792,183.067165
Alabama,Neoplasms,2,Female,2009,186.5292911,190.4883063,183.014433
Alabama,Neoplasms,2,Female,2010,184.3027202,188.3850242,180.8741442
Alabama,Neoplasms,2,Female,2011,184.3021139,188.5727555,180.5610167
Alabama,Neoplasms,2,Female,2012,184.5687639,189.0296697,180.804136
Alabama,Neoplasms,2,Female,2013,183.9205289,188.1955096,180.1631744
Alabama,Neoplasms,2,Female,2014,186.2970255,190.8579925,182.3682095
Alaska,Neoplasms,1,Male,1980,306.3864953,319.9074064,293.7958471
Alaska,Neoplasms,1,Male,1981,299.9392782,313.4022231,286.6671845
Alaska,Neoplasms,1,Male,1982,294.0517186,306.0028047,281.4521675
Alaska,Neoplasms,1,Male,1983,294.6029975,306.841204,281.3516169
Alaska,Neoplasms,1,Male,1984,293.2531585,304.8463593,280.6662784
